mon
#I(TEC),I(LD),P(BFM),P(ASE),THERM,LAMBDA
0.000,0.114,-10000.000,2.385,17.2,-14.0
0.000,0.114,-10000.000,2.386,17.2,0.0
0.000,0.114,-10000.000,2.386,17.2,0.0
0.000,0.114,-10000.000,2.386,17.2,14.9
0.000,0.114,-10000.000,2.386,17.2,-14.9
0.000,0.114,-10000.000,2.385,17.2,0.0
0.000,0.114,-10000.000,2.385,17.2,0.0
0.000,0.114,-10000.000,2.371,17.2,-14.0
0.000,0.114,-10000.000,2.386,17.2,0.0
0.000,0.114,-10000.000,2.386,17.2,-28.9
0.000,0.114,-10000.000,2.386,17.2,14.0
0.000,0.114,-10000.000,2.386,17.2,0.0
0.000,0.114,-10000.000,2.386,17.2,43.9
0.000,0.114,-10000.000,2.388,17.2,0.0
0.000,0.114,-10000.000,2.385,17.2,-14.9
0.000,0.114,-10000.000,2.398,17.2,29.6
0.000,0.114,-10000.000,2.386,17.2,0.0
0.000,0.114,-10000.000,2.399,17.2,14.9
0.000,0.114,-10000.000,2.399,17.2,-28.9
0.000,0.114,-10000.000,2.398,17.2,14.9
0.000,0.114,-10000.000,2.399,17.2,-28.9
0.000,0.114,-10000.000,2.398,17.2,-43.6
0.000,0.114,-10000.000,2.398,17.2,0.0
0.000,0.114,-10000.000,2.386,17.2,0.0
0.000,0.114,-10000.000,2.397,17.2,0.0
0.000,0.114,-10000.000,2.385,17.2,0.0
0.000,0.114,-10000.000,2.399,17.2,-87.5
0.000,0.114,-10000.000,2.399,17.2,0.0
0.000,0.114,-10000.000,2.399,17.2,-14.0
0.000,0.114,-10000.000,2.397,17.2,14.9
0.000,0.114,-10000.000,2.394,17.2,-28.9
0.000,0.114,-10000.000,2.386,17.2,0.0
0.000,0.114,-10000.000,2.399,17.2,0.0
0.000,0.114,-10000.000,2.386,17.2,0.0
0.000,0.114,-10000.000,2.375,17.2,0.0
0.000,0.114,-10000.000,2.386,17.2,-14.0
0.000,0.114,-10000.000,2.385,17.2,28.9
0.000,0.114,-10000.000,2.385,17.2,-28.9
0.000,0.114,-10000.000,2.385,17.2,58.2
0.000,0.114,-10000.000,2.386,17.2,-43.6
0.000,0.114,-10000.000,2.386,17.2,0.0
0.000,0.114,-10000.000,2.386,17.2,-43.6
0.000,0.114,-10000.000,2.386,17.2,-29.2
0.000,0.114,-10000.000,2.384,17.2,-43.6
0.000,0.114,-10000.000,2.385,17.2,102.2
0.000,0.114,-10000.000,2.386,17.2,87.8
0.000,0.114,-10000.000,2.386,17.2,-43.6
0.000,0.114,-10000.000,2.386,17.2,-58.5
0.000,0.114,-10000.000,2.386,17.2,-72.9
0.000,0.114,-10000.000,2.386,17.2,-29.6
0.000,0.114,-10000.000,2.397,17.2,29.6
0.000,0.114,-10000.000,2.399,17.2,14.3
0.000,0.114,-10000.000,2.385,17.2,0.0
0.000,0.114,-10000.000,2.387,17.2,0.0
0.000,0.114,-10000.000,2.386,17.2,-43.6
0.000,0.114,-10000.000,2.385,17.2,29.6
0.000,0.114,-10000.000,2.386,17.2,-73.2
0.000,0.114,-10000.000,2.385,17.2,0.0
0.000,0.114,-10000.000,2.386,17.2,58.8
0.000,0.114,-10000.000,2.386,17.2,0.0
0.000,0.114,-10000.000,2.385,17.2,14.6
0.000,0.114,-10000.000,2.385,17.2,0.0
0.000,0.114,-10000.000,2.383,17.2,0.0
0.000,0.114,-10000.000,2.385,17.2,0.0
0.000,0.114,-10000.000,2.373,17.2,-14.9
0.000,0.114,-10000.000,2.385,17.2,0.0
0.000,0.114,-10000.000,2.385,17.2,0.0
0.000,0.114,-10000.000,2.386,17.2,14.9
0.000,0.114,-10000.000,2.385,17.2,14.6
0.000,0.114,-10000.000,2.382,17.2,-29.6
0.000,0.114,-10000.000,2.386,17.2,-14.9
0.000,0.114,-10000.000,2.385,17.2,0.0
0.000,0.114,-10000.000,2.386,17.2,0.0
0.000,0.114,-10000.000,2.386,17.2,14.9
0.000,0.114,-10000.000,2.386,17.2,0.0
0.000,0.114,-10000.000,2.386,17.2,0.0
0.000,0.114,-10000.000,2.392,17.2,0.0
0.000,0.114,-10000.000,2.386,17.2,43.6
0.000,0.114,-10000.000,2.399,17.2,0.0
0.000,0.114,-10000.000,2.398,17.2,0.0
0.000,0.114,-10000.000,2.399,17.2,14.6
0.000,0.114,-10000.000,2.399,17.2,-14.6
0.000,0.114,-10000.000,2.399,17.2,-14.6
0.000,0.114,-10000.000,2.399,17.2,14.9
0.000,0.114,-10000.000,2.399,17.2,0.0
0.000,0.114,-10000.000,2.386,17.2,14.6
0.000,0.114,-10000.000,2.398,17.2,14.6
0.000,0.114,-10000.000,2.386,17.2,0.0
0.000,0.114,-10000.000,2.386,17.2,29.2
0.000,0.114,-10000.000,2.386,17.2,0.0
0.000,0.114,-10000.000,2.386,17.2,-14.9
0.000,0.114,-10000.000,2.386,17.2,0.0
0.000,0.114,-10000.000,2.386,17.2,29.2
0.000,0.114,-10000.000,2.399,17.2,14.6
0.000,0.114,-10000.000,2.386,17.2,14.9
0.000,0.114,-10000.000,2.386,17.2,14.6
0.000,0.114,-10000.000,2.386,17.2,0.0
0.000,0.114,-10000.000,2.386,17.2,0.0
0.000,0.114,-10000.000,2.397,17.2,0.0
0.000,0.114,-10000.000,2.386,17.2,-14.6
0.000,0.114,-10000.000,2.399,17.2,14.6
0.000,0.114,-10000.000,2.399,17.2,-14.6
0.000,0.114,-10000.000,2.399,17.2,14.6
0.000,0.114,-10000.000,2.385,17.2,43.6
0.000,0.114,-10000.000,2.385,17.2,0.0
0.000,0.114,-10000.000,2.399,17.2,0.0
0.000,0.114,-10000.000,2.398,17.2,0.0
0.000,0.114,-10000.000,2.399,17.2,-29.6
0.000,0.114,-10000.000,2.385,17.2,-14.6
0.000,0.114,-10000.000,2.386,17.2,0.0
0.000,0.114,-10000.000,2.386,17.2,0.0
0.000,0.114,-10000.000,2.386,17.2,0.0
0.000,0.114,-10000.000,2.385,17.2,0.0
0.000,0.114,-10000.000,2.386,17.2,29.6
0.000,0.114,-10000.000,2.386,17.2,14.6
0.000,0.114,-10000.000,2.386,17.2,14.6
0.000,0.114,-10000.000,2.386,17.2,29.2
0.000,0.114,-10000.000,2.386,17.2,0.0
0.000,0.114,-10000.000,2.386,17.2,0.0
0.000,0.114,-10000.000,2.386,17.2,-14.6
0.000,0.114,-10000.000,2.386,17.2,14.6
0.000,0.114,-10000.000,2.385,17.2,-43.6
0.000,0.114,-10000.000,2.385,17.2,0.0
0.000,0.114,-10000.000,2.385,17.2,-29.6
0.000,0.114,-10000.000,2.386,17.2,-14.6
0.000,0.114,-10000.000,2.386,17.2,43.6
0.000,0.114,-10000.000,2.386,17.2,-28.9
0.000,0.114,-10000.000,2.385,17.2,14.6
0.000,0.114,-10000.000,2.385,17.2,43.9
0.000,0.114,-10000.000,2.386,17.2,14.6
0.000,0.114,-10000.000,2.386,17.2,14.6
0.000,0.114,-10000.000,2.390,17.2,28.9
0.000,0.114,-10000.000,2.389,17.2,14.6
0.000,0.114,-10000.000,2.385,17.2,72.9
0.000,0.114,-10000.000,2.384,17.2,-57.9
0.000,0.114,-10000.000,2.385,17.2,29.6
0.000,0.114,-10000.000,2.385,17.2,29.6
0.000,0.114,-10000.000,2.384,17.2,28.9
0.000,0.114,-10000.000,2.385,17.2,-14.3
0.000,0.114,-10000.000,2.386,17.2,0.0
0.000,0.114,-10000.000,2.385,17.2,87.2
0.000,0.114,-10000.000,2.384,17.2,0.0
0.000,0.114,-10000.000,2.385,17.2,-14.3
0.000,0.114,-10000.000,2.385,17.2,0.0
